"entidad","municipio"
"Oaxaca","San Luis Amatlán"
"Oaxaca","San Marcial Ozolotepec"
"Oaxaca","San Martín Huamelúlpam"
"Oaxaca","San Martín Lachilá"
"Oaxaca","San Martín Zacatepec"
"Oaxaca","San Mateo Cajonos"
"Oaxaca","San Mateo Nejápam"
"Oaxaca","San Melchor Betaza"
"Oaxaca","San Miguel Ahuehuetitlán"
"Oaxaca","San Miguel Amatlán"
"Oaxaca","San Miguel del Río"
"Oaxaca","San Miguel Mixtepec"
"Oaxaca","San Miguel Panixtlahuaca"
"Oaxaca","San Miguel Piedras"
"Oaxaca","San Miguel Tilquiápam"
"Oaxaca","San Miguel Yotao"
"Oaxaca","San Nicolás Hidalgo"
"Oaxaca","San Pablo Coatlán"
"Oaxaca","San Pablo Macuiltianguis"
"Oaxaca","San Pablo Yaganiza"
"Oaxaca","San Pedro Amuzgos"
"Oaxaca","San Pedro Juchatengo"
"Oaxaca","San Pedro Mártir Quiechapa"
"Oaxaca","San Pedro Mixtepec Distrito 26"
"Oaxaca","San Pedro Ocopetatillo"
"Oaxaca","San Pedro Ocotepec"
"Oaxaca","San Pedro Sochiápam"
"Oaxaca","San Pedro Taviche"
"Oaxaca","San Pedro Teozacoalco"
"Oaxaca","San Pedro Teutila"
"Oaxaca","San Pedro Yólox"
"Oaxaca","San Simón Zahuatlán"
"Oaxaca","San Vicente Coatlán"
"Oaxaca","Santa Ana"
"Oaxaca","Santa Ana Ateixtlahuaca"
"Oaxaca","Santa Ana Tavela"
"Oaxaca","Santa Ana Yareni"
"Oaxaca","Santa Catalina Quierí"
"Oaxaca","Santa Catarina Juquila"
"Oaxaca","Santa Catarina Lachatao"
"Oaxaca","Santa Catarina Loxicha"
"Oaxaca","Santa Catarina Mechoacán"
"Oaxaca","Santa Catarina Quioquitani"
"Oaxaca","Santa Cruz Acatepec"
"Oaxaca","Santa Cruz Tacache de Mina"
"Oaxaca","Santa Cruz Tayata"
"Oaxaca","Santa Cruz Xitla"
"Oaxaca","Santa Inés Yatzeche"
"Oaxaca","Santa Magdalena Jicotlán"
"Oaxaca","Santa María Cortijo"
"Oaxaca","Santa María Ecatepec"
"Oaxaca","Santa María Guelacé"
"Oaxaca","Santa María Guienagati"
"Oaxaca","Santa María Jaltianguis"
"Oaxaca","Santa María Nativitas"
"Oaxaca","Santa María Pápalo"
"Oaxaca","Santa María Peñoles"
"Oaxaca","Santa María Quiegolani"
"Oaxaca","Santa María Sola"
"Oaxaca","Santa María Temaxcalapa"
"Oaxaca","Santa María Temaxcaltepec"
"Oaxaca","Santa María Texcatitlán"
"Oaxaca","Santa María Totolapilla"
"Oaxaca","Santa María Yalina"
"Oaxaca","Santa María Yavesía"
"Oaxaca","Santa María Yolotepec"
"Oaxaca","Santa María Yucuhiti"
"Oaxaca","Santa María Zoquitlán"
"Oaxaca","Santiago Camotlán"
"Oaxaca","Santiago Choápam"
"Oaxaca","Santiago Comaltepec"
"Oaxaca","Santiago del Río"
"Oaxaca","Santiago Jamiltepec"
"Oaxaca","Santiago Lalopa"
"Oaxaca","Santiago Laxopa"
"Oaxaca","Santiago Matatlán"
"Oaxaca","Santiago Minas"
"Oaxaca","Santiago Nuyoó"
"Oaxaca","Santiago Tamazola"
"Oaxaca","Santiago Tapextla"
"Oaxaca","Santiago Tetepec"
"Oaxaca","Santiago Textitlán"
"Oaxaca","Santiago Tillo"
"Oaxaca","Santiago Tlazoyaltepec"
"Oaxaca","Santiago Xiacuí"
"Oaxaca","Santiago Yaitepec"
"Oaxaca","Santiago Yucuyachi"
"Oaxaca","Santiago Zoochila"
"Oaxaca","Santo Domingo Albarradas"
"Oaxaca","Santo Domingo de Morelos"
"Oaxaca","Santo Domingo Ozolotepec"
"Oaxaca","Santo Domingo Roayaga"
"Oaxaca","Santo Domingo Teojomulco"
"Oaxaca","Santo Domingo Tonaltepec"
"Oaxaca","Santo Domingo Xagacía"
"Oaxaca","Santo Tomás Mazaltepec"
"Oaxaca","Santo Tomás Tamazulapan"
"Oaxaca","Santos Reyes Yucuná"
"Oaxaca","Silacayoápam"
"Oaxaca","Sitio de Xitlapehua"
"Oaxaca","Tanetze de Zaragoza"
"Oaxaca","Tataltepec de Valdés"
"Oaxaca","Tlacotepec Plumas"
"Oaxaca","Totontepec Villa de Morelos"
"Oaxaca","Villa Hidalgo"
"Oaxaca","Villa Talea de Castro"
"Oaxaca","Yaxe"
"Puebla","Amixtlán"
"Puebla","San Felipe Tepatlán"
"Puebla","La Magdalena Tlatlauquitepec"
"Puebla","Tlapacoya"
"Puebla","Tepango de Rodríguez"
"Puebla","Zongozotla"
"Puebla","Camocuautla"
"Puebla","Yaonáhuac"
"Puebla","San Juan Atzompa"
"Puebla","Huatlatlauca"
"Puebla","Chigmecatitlán"
"Puebla","Santa Catarina Tlaltempan"
"Puebla","Coatzingo"
"Puebla","Cuayuca de Andrade"
"San Luis Potosí","Vanegas"
"San Luis Potosí","Catorce"
"San Luis Potosí","Charcas"
"San Luis Potosí","Lagunillas"
"San Luis Potosí","Tanquián de Escobedo"
"Sonora","Atil"
"Sonora","Aconchi"
"Sonora","San Felipe de Jesús"
"Sonora","Moctezuma"
"Sonora","Cumpas"
"Sonora","Villa Hidalgo"
"Sonora","Granados"
"Sonora","Divisaderos"
"Sonora","Huásabas"
"Sonora","Tepache"
"Sonora","Nácori Chico"
"Sonora","Bacadéhuachi"
"Sonora","Huachinera"
"Sonora","Bacerac"
"Sonora","Arivechi"
"Sonora","Bacanora"
"Sonora","San Javier"
"Tamaulipas","Cruillas"
"Tamaulipas","San Nicolás"
"Tamaulipas","Mier"
"Tamaulipas","Miquihuana"
"Veracruz","Citlaltépetl"
"Veracruz","Tatatila"
"Veracruz","Las Minas"
"Veracruz","Tlacolulan"
"Veracruz","Coacoatzintla"
"Veracruz","Mixtla de Altamirano"
"Veracruz","Texhuacán"
"Veracruz","Los Reyes"
"Veracruz","Tlaquilpa"
"Veracruz","Astacinga"
"Veracruz","Santiago Sochiapan"
"Yucatán","Dzoncauich"
